website,robots_txt,sitemap_page,is_sitemap_in_robots,ogrn
http://stpmm.ru,True,True,False,1032100001218
http://vuc-energetik.ru,False,False,False,1033600153025
http://двопп.рф,True,True,False,1032700000673
http://teatr-flamingo.ru,False,True,False,1035001607596
http://bfsd.ru,True,True,True,1037735025240
http://dinamo.omsk.ru,False,False,False,1035500000040
http://riocenter.ru,True,False,False,1037710043810
http://fondlubimova.com,True,True,True,1037709019127
http://exstandart.ru,True,True,False,1037726018714
http://tchaikovsky.ucoz.ru,True,True,True,1037739343685
http://samelprof.ru,False,False,False,1036303380035
http://baptizm.ru,True,False,False,1036303382499
http://www.pb96.narod.ru,True,True,True,1037858011993
http://www.s-o-k.ru,True,True,True,1037858027888
http://www.greenpeace.ru,True,False,False,1037739393713
http://svgvg.ru,False,False,False,1037700079922
http://7-peaks.ru,True,True,False,1037400576223
http://karate-rb.ru,True,False,False,1030200023325
http://www.rnsp.ru,True,True,False,1037746006176
http://parzas.ru,True,True,False,1037700058384
http://sovrso.ru,False,False,False,1036300449987
http://www.rusbusiness.org,True,True,True,1037739647220
http://www.russiachess.ru,True,True,False,1037739496024
http://киношок.рф,True,True,True,1037702042124
http://чистыегорыкавказа.рф,False,False,False,1032335031024
http://веркола.рф,True,True,False,1032902530297
http://www.pravslovo.ru,True,True,False,1037739765491
http://sprc.ru,True,False,False,1037739722657
http://osset.ru,False,False,False,1037739147456
http://www.st-catherine.ru,True,True,False,1037739712405
http://povolzje.ru,True,False,False,1036303393708
http://solzemli-samara.ru,True,False,False,1036303394082
http://zdetstvo.umi.ru,True,True,False,1036303399714
http://www.fond21.ru,True,True,True,1037700063697
http://ligazn.ru,False,True,False,1037746007023
http://fondrosflot.ru,True,True,True,1037707022440
http://www.volley.ru,False,False,False,1037700097214
