id,title,score,numericValue,numericUnit,website
largest-contentful-paint,Largest Contentful Paint,0.67,1900.0,millisecond,http://ghope.ru
first-contentful-paint,First Contentful Paint,0.84,1062.0,millisecond,http://ghope.ru
interactive,Time to Interactive,1.0,936.0,millisecond,http://fond-edykina.ru
largest-contentful-paint,Largest Contentful Paint,0.7,1820.0,millisecond,http://fond-edykina.ru
first-contentful-paint,First Contentful Paint,0.9,936.0,millisecond,http://fond-edykina.ru
interactive,Time to Interactive,0.95,2076.0,millisecond,http://mv-v-krug-dobra.ru
largest-contentful-paint,Largest Contentful Paint,0.92,1130.0,millisecond,http://mv-v-krug-dobra.ru
first-contentful-paint,First Contentful Paint,0.88,980.0,millisecond,http://mv-v-krug-dobra.ru
interactive,Time to Interactive,1.0,920.0,millisecond,http://kuzhelaclub.ru
largest-contentful-paint,Largest Contentful Paint,0.88,1260.0,millisecond,http://kuzhelaclub.ru
first-contentful-paint,First Contentful Paint,0.91,920.0,millisecond,http://kuzhelaclub.ru
interactive,Time to Interactive,0.82,2954.5,millisecond,http://rcvd.ru
largest-contentful-paint,Largest Contentful Paint,0.58,2150.0,millisecond,http://rcvd.ru
first-contentful-paint,First Contentful Paint,0.98,658.0,millisecond,http://rcvd.ru
interactive,Time to Interactive,0.85,2763.5,millisecond,http://fondapk-nn.ru
largest-contentful-paint,Largest Contentful Paint,0.38,2843.0,millisecond,http://fondapk-nn.ru
first-contentful-paint,First Contentful Paint,1.0,427.0,millisecond,http://fondapk-nn.ru
interactive,Time to Interactive,1.0,845.5,millisecond,http://pge73.ru
largest-contentful-paint,Largest Contentful Paint,0.42,2682.5,millisecond,http://pge73.ru
first-contentful-paint,First Contentful Paint,0.95,812.5,millisecond,http://pge73.ru
interactive,Time to Interactive,0.99,1354.5,millisecond,http://bf-dostoinstvo.ru
largest-contentful-paint,Largest Contentful Paint,0.23,3555.0,millisecond,http://bf-dostoinstvo.ru
first-contentful-paint,First Contentful Paint,0.74,1222.0,millisecond,http://bf-dostoinstvo.ru
interactive,Time to Interactive,1.0,1036.5,millisecond,http://departament-turizma.ru
largest-contentful-paint,Largest Contentful Paint,0.41,2730.0,millisecond,http://departament-turizma.ru
